driver_id,driver_name,driver_phone,national_id,region_id,shift,vehicle_type,hire_date,rating_avg,on_time_rate,cancel_rate,completed_deliveries,is_active,created_at,updated_at
1,Tarek Farouk,01556324312,359436842801130,2,night,car,2022-10-29,3.869,0.847,0.023,6049,True,2022-10-29 00:00:00,2026-03-21 23:09:17.373158
2,Bassem Abdel-Rahman,01071862210,382445653135239,14,evening,bike,2019-03-22,3.52,0.857,0.042,9102,True,2019-03-22 00:00:00,2026-03-21 23:09:17.373206
3,Khaled El-Din,01155092789,333451979746901,10,evening,bike,2020-02-14,4.988,0.955,0.016,22075,True,2020-02-14 00:00:00,2026-03-21 23:09:17.373230
4,Bassem Abdallah,01540317902,223334061807881,11,evening,bike,2019-07-14,3.649,0.858,0.064,15477,True,2019-07-14 00:00:00,2026-03-21 23:09:17.373254
5,Hazem Abdel-Rahman,01236853878,345362193617429,17,evening,car,2023-11-09,4.467,0.902,0.041,8872,True,2023-11-09 00:00:00,2026-03-21 23:09:17.373274
6,Hassan El-Din,01585982862,238237358134698,12,evening,motorbike,2024-03-29,3.718,0.757,0.008,5513,True,2024-03-29 00:00:00,2026-03-21 23:09:17.373290
7,Khaled Mohamed,01296710377,243232744242109,13,morning,car,2023-08-17,3.633,0.748,0.018,5685,True,2023-08-17 00:00:00,2026-03-21 23:09:17.373306
8,Walid Saleh,01228311409,249096243498411,18,morning,motorbike,2019-06-01,4.421,0.87,0.004,24866,True,2019-06-01 00:00:00,2026-03-21 23:09:17.373323
9,Wael Mohamed,01558779318,229781943982927,8,morning,motorbike,2019-09-18,4.314,0.852,0.045,11548,True,2019-09-18 00:00:00,2026-03-21 23:09:17.373339
10,Nabil Soliman,01052065222,392239313664514,13,night,motorbike,2020-01-05,4.602,0.822,0.073,10070,True,2020-01-05 00:00:00,2026-03-21 23:09:17.373355
11,Mostafa Mansour,01225161415,369642259829314,16,night,motorbike,2025-08-11,3.884,0.762,0.021,1437,True,2025-08-11 00:00:00,2026-03-21 23:09:17.373372
12,Tarek Abdel-Rahman,abc12345,399925058574447,12,night,bike,2025-10-17,3.707,0.911,0.068,1040,True,2025-10-17 00:00:00,2026-03-21 23:09:17.373410
13,Amr Khalil,01168900892,348564656871503,3,evening,motorbike,2021-08-22,4.218,0.732,0.03,17755,True,2021-08-22 00:00:00,2026-03-21 23:09:17.373455
14,Ziad Ibrahim,01590814633,335858458740794,15,night,bike,2024-09-04,3.726,0.934,0.032,4033,True,2024-09-04 00:00:00,2026-03-21 23:09:17.373480
15,Hassan Mostafa,01552869025,328789344492893,9,morning,car,2020-06-16,4.548,0.872,0.063,17623,True,2020-06-16 00:00:00,2026-03-21 23:09:17.373514
16,Hassan Naguib,01084964625,222523724536519,15,morning,motorbike,2025-05-25,3.862,0.938,0.067,1088,True,2025-05-25 00:00:00,2026-03-21 23:09:17.373531
17,Ali Mohamed,01570895638,341589993468742,7,morning,motorbike,2025-05-12,4.917,0.735,0.07,1672,True,2025-05-12 00:00:00,2026-03-21 23:09:17.373546
18,Karim Mahmoud,01166147435,214046486012615,10,evening,car,2022-03-05,3.886,0.749,0.036,8286,True,2022-03-05 00:00:00,2026-03-21 23:09:17.373565
19,Omar El-Sayed,01538483372,369574239178689,9,morning,motorbike,2022-08-17,3.619,0.742,0.006,7058,True,2022-08-17 00:00:00,2026-03-21 23:09:17.373583
20,Adel Gaber,01262975309,388752057453412,2,night,car,2019-07-06,3.815,0.5,0.044,29662,True,2019-07-06 00:00:00,2026-03-21 23:09:17.373606
21,Khaled Tawfik,01027162621,349547349350320,12,evening,car,2021-12-02,3.952,0.817,0.071,14033,True,2021-12-02 00:00:00,2026-03-21 23:09:17.373634
22,Khaled Saleh,01184581396,336586076149821,5,morning,bike,2024-07-05,3.875,0.849,0.0,3554,True,2024-07-05 00:00:00,2026-03-21 23:09:17.373704
23,Wael Fathy,01525098270,259199381466591,3,morning,bike,2025-04-16,4.758,0.878,0.017,1463,True,2025-04-16 00:00:00,2026-03-21 23:09:17.373754
24,Wael Gaber,01165890810,213652133776023,10,night,car,2019-01-17,5.0,0.75,0.015,19743,True,2019-01-17 00:00:00,2026-03-21 23:09:17.373770
25,Khaled Ali,01289752745,255726167891485,5,morning,bike,2024-05-19,4.784,0.817,0.064,4094,True,2024-05-19 00:00:00,2026-03-21 23:09:17.373798
26,Walid Shaker,01521970652,239308222658092,6,evening,motorbike,2021-11-11,4.632,0.731,0.021,15388,True,2021-11-11 00:00:00,2026-03-21 23:09:17.373812
27,Hossam Saleh,01158190104,261714979883738,17,morning,car,2022-06-24,4.254,0.912,0.066,9895,True,2022-06-24 00:00:00,2026-03-21 23:09:17.373832
28,Nabil Saleh,01015427508,375236143462150,8,night,motorbike,2023-11-14,4.513,0.855,0.014,6359,True,2023-11-14 00:00:00,2026-03-21 23:09:17.373882
29,Ibrahim Mansour,01150320166,270196213316716,10,night,motorbike,2024-05-10,3.545,0.723,0.011,2178,True,2024-05-10 00:00:00,2026-03-21 23:09:17.373896
30,Youssef Mansour,01077571186,275144610435697,6,morning,car,2021-11-03,4.742,0.884,0.0,11529,True,2021-11-03 00:00:00,2026-03-21 23:09:17.373925
31,Ashraf Mansour,01138329117,295014506147287,9,night,car,2021-12-21,3.628,0.808,0.045,4827,False,2021-12-21 00:00:00,2026-03-21 23:09:17.373972
32,Hossam Mansour,01293013580,365592661254383,10,morning,car,2025-10-01,3.731,0.802,0.0,455,False,2025-10-01 00:00:00,2026-03-21 23:09:17.373986
33,Bassem El-Sayed,01594028236,252348747307539,15,morning,bike,2020-08-17,4.243,0.891,0.005,8576,True,2020-08-17 00:00:00,2026-03-21 23:09:17.373999
34,Hossam Fathy,01286427662,356982865960051,1,morning,bike,2025-07-25,4.439,0.959,0.062,2414,True,2025-07-25 00:00:00,2026-03-21 23:09:17.374013
35,Adel Zaki,01578901438,384350439585692,1,evening,car,2019-06-01,4.351,0.944,0.045,14866,True,2019-06-01 00:00:00,2026-03-21 23:09:17.374034
36,Youssef Fathy,01512792658,276040242641592,12,evening,car,2022-11-21,3.814,0.938,0.014,11549,True,2022-11-21 00:00:00,2026-03-21 23:09:17.374062
37,Ziad Tawfik,01565950146,376476627516738,6,night,car,2022-04-16,3.851,0.812,0.056,6056,True,2022-04-16 00:00:00,2026-03-21 23:09:17.374075
38,Hassan Shaker,01550755467,288366872790446,2,morning,motorbike,2023-08-31,4.012,0.73,0.019,6795,True,2023-08-31 00:00:00,2026-03-21 23:09:17.374087
39,Ayman Hassan,01085427873,246285972639678,11,evening,bike,2020-04-11,4.601,0.857,0.065,19489,True,2020-04-11 00:00:00,2026-03-21 23:09:17.374099
40,Bassem Soliman,01571355706,224903427681611,4,night,car,2019-07-26,3.553,0.862,0.009,23180,True,2019-07-26 00:00:00,2026-03-21 23:09:17.374111
41,Hassan Zaki,01030709222,327305014963826,7,evening,motorbike,2024-09-03,4.946,0.88,0.058,2223,True,2024-09-03 00:00:00,2026-03-21 23:09:17.374123
42,Ibrahim Soliman,01558404738,284542393710723,14,morning,bike,2023-03-06,3.662,0.807,0.029,13105,False,2023-03-06 00:00:00,2026-03-21 23:09:17.374136
43,Ayman Gaber,01079437366,257610076595822,11,evening,motorbike,2023-12-18,5.0,0.935,0.018,3606,True,2023-12-18 00:00:00,2026-03-21 23:09:17.374148
44,Hazem Ali,01563955904,311109579706988,9,night,car,2024-10-30,4.416,0.704,0.015,3290,True,2024-10-30 00:00:00,2026-03-21 23:09:17.374161
45,Adel Shaker,01536480587,315201567379266,18,evening,car,2022-11-15,4.11,0.812,0.055,12249,True,2022-11-15 00:00:00,2026-03-21 23:09:17.374173
46,Hussein Mohamed,01113143613,293389109044875,9,morning,car,2024-11-05,4.748,0.848,0.021,3141,True,2024-11-05 00:00:00,2026-03-21 23:09:17.374185
47,Ziad Farouk,01070228445,373771696802385,11,morning,motorbike,2022-12-22,4.726,0.857,0.076,10520,True,2022-12-22 00:00:00,2026-03-21 23:09:17.374197
48,Walid Shaker,01160689435,256136990639839,17,night,bike,2022-03-11,3.809,0.858,0.067,8744,True,2022-03-11 00:00:00,2026-03-21 23:09:17.374209
49,Karim Mohamed,01520478739,384065322982472,13,night,bike,2020-06-16,4.366,0.819,0.061,21869,True,2020-06-16 00:00:00,2026-03-21 23:09:17.374220
50,Sherif Tawfik,01177885433,228208332229271,17,night,motorbike,2023-09-04,3.694,0.889,0.019,7065,False,2023-09-04 00:00:00,2026-03-21 23:09:17.374232
51,Tarek Ibrahim,01215406577,262278847625879,10,evening,car,2020-03-27,3.98,0.906,0.042,17732,True,2020-03-27 00:00:00,2026-03-21 23:09:17.374244
52,,01015997180,390652962521313,10,night,motorbike,2024-06-25,4.143,0.76,0.025,4371,True,2024-06-25 00:00:00,2026-03-21 23:09:17.374256
