agent_id,agent_name,agent_email,agent_phone,team_id,skill_level,hire_date,avg_handle_time_min,resolution_rate,csat_score,is_active,created_at,updated_at
1,Mahmoud El-Sayed,mahmoud.elsayed57@fastfeast.com,1228021013,3,Senior,2021-05-23,4,0.886,4.467,True,2021-05-23 00:00:00,2026-03-11 12:40:10.871741
2,Ayman Saleh,ayman.saleh57@fastfeast.com,1018672730,4,Senior,2023-03-27,5,0.898,4.244,True,2023-03-27 00:00:00,2026-03-11 12:40:10.871791
3,Mohamed Rizk,mohamed.rizk@fastfeast.com,1248299416,5,Lead,2021-08-02,4,0.934,4.818,True,2021-08-02 00:00:00,2026-03-11 12:40:10.871827
4,Mostafa Fathy,mostafafathy@fastfeast.com,1184202557,2,Lead,2020-11-23,5,0.955,4.58,True,2020-11-23 00:00:00,2026-03-11 12:40:10.871860
5,Mona Mansour,monamansour@fastfeast.com,1575706438,3,Senior,2023-03-06,9,0.916,4.28,True,2023-03-06 00:00:00,2026-03-11 12:40:10.871894
6,Karim Hassan,karim.hassan@fastfeast.com,1174119239,1,Senior,2021-05-24,6,0.937,4.757,False,2021-05-24 00:00:00,2026-03-11 12:40:10.871931
7,Nada Tawfik,nadatawfik@fastfeast.com,1079596863,2,Senior,2020-04-25,9,0.882,4.4,True,2020-04-25 00:00:00,2026-03-11 12:40:10.871961
8,Ziad Saleh,ziadsaleh@fastfeast.com,1210861718,2,Senior,2022-11-01,7,0.917,4.742,True,2022-11-01 00:00:00,2026-03-11 12:40:10.871993
9,Youssef Mohamed,youssef.mohamed8@fastfeast.com,1135754346,3,Mid,2024-09-07,9,0.877,4.105,False,2024-09-07 00:00:00,2026-03-11 12:40:10.872079
10,Amira Rizk,amira.rizk86@fastfeast.com,1022997893,2,Lead,2021-03-23,4,0.922,4.567,True,2021-03-23 00:00:00,2026-03-11 12:40:10.872128
11,Amr Shaker,amrshaker@fastfeast.com,1010414016,4,Senior,2025-10-31,6,0.934,4.418,True,2025-10-31 00:00:00,2026-03-11 12:40:10.872162
12,Jana Ali,jana.ali3@fastfeast.com,1216141035,3,Senior,2020-04-15,10,0.899,4.551,True,2020-04-15 00:00:00,2026-03-11 12:40:10.872201
13,Adel Fathy,adel.fathy92@fastfeast.com,1027161260,4,Senior,2024-06-27,7,0.958,4.776,True,2024-06-27 00:00:00,2026-03-11 12:40:10.872253
14,Nevine Gaber,nevinegaber@fastfeast.com,1144578317,4,Junior,2025-03-27,10,0.779,4.112,False,2025-03-27 00:00:00,2026-03-11 12:40:10.872282
15,Ramy Ali,ramy.ali@fastfeast.com,1144775001,1,Mid,2025-12-29,15,0.827,4.011,True,2025-12-29 00:00:00,2026-03-11 12:40:10.872314
16,Omar El-Masry,omar.elmasry47@fastfeast.com,1179759849,5,Senior,2022-02-09,6,0.958,4.564,True,2022-02-09 00:00:00,2026-03-11 12:40:10.872347
17,Amr El-Sayed,amr.elsayed@fastfeast.com,1549123810,4,Junior,2025-03-01,13,0.777,4.093,True,2025-03-01 00:00:00,2026-03-11 12:40:10.872415
18,Aya Tawfik,ayatawfik@fastfeast.com,1262527814,4,Lead,2022-05-12,4,0.966,4.502,True,2022-05-12 00:00:00,2026-03-11 12:40:10.872438
19,Mona Tawfik,monatawfik@fastfeast.com,1138154362,2,Senior,2022-03-10,10,0.936,4.819,True,2022-03-10 00:00:00,2026-03-11 12:40:10.872458
20,Ashraf Rizk,ashraf.rizk@fastfeast.com,1289643778,4,Senior,2020-02-07,10,0.884,4.865,False,2020-02-07 00:00:00,2026-03-11 12:40:10.872477
21,Dina Hassan,dina.hassan@fastfeast.com,1026381483,4,Mid,2021-05-01,7,0.891,4.394,True,2021-05-01 00:00:00,2026-03-11 12:40:10.872496
22,Ahmed El-Din,ahmedeldin@fastfeast.com,1062854477,5,Junior,2025-05-18,20,0.767,4.187,True,2025-05-18 00:00:00,2026-03-11 12:40:10.872518
23,Sara Soliman,sara.soliman12@fastfeast.com,1214698329,1,Senior,2021-05-23,5,0.956,4.712,False,2021-05-23 00:00:00,2026-03-11 12:40:10.872552
24,Noha Abdallah,noha.abdallah69@fastfeast.com,1123288780,1,Senior,2021-12-03,8,0.95,4.382,True,2021-12-03 00:00:00,2026-03-11 12:40:10.872597
25,Ali Abdel-Rahman,ali.abdelrahman55@fastfeast.com,1181927860,2,Lead,2022-05-31,7,0.953,4.848,True,2022-05-31 00:00:00,2026-03-11 12:40:10.872617
26,Nada Tawfik,nada.tawfik@fastfeast.com,1518852915,3,Senior,2022-02-28,8,0.887,4.825,True,2022-02-28 00:00:00,2026-03-11 12:40:10.872636
27,Abeer El-Masry,abeer.elmasry45@fastfeast.com,1284026745,3,Mid,2023-01-24,7,0.844,4.28,True,2023-01-24 00:00:00,2026-03-11 12:40:10.872657
28,Hassan El-Masry,hassan.elmasry@fastfeast.com,1243435196,5,Junior,2024-05-14,14,0.831,3.65,True,2024-05-14 00:00:00,2026-03-11 12:40:10.872678
29,Yasmin Mansour,yasmin.mansour@fastfeast.com,1122567290,2,Senior,2023-12-20,8,0.949,4.777,True,2023-12-20 00:00:00,2026-03-11 12:40:10.872710
30,Ashraf Abdel-Rahman,ashraf.abdelrahman@fastfeast.com,1581715863,3,Mid,2025-07-11,13,0.863,4.515,True,2025-07-11 00:00:00,2026-03-11 12:40:10.872754
