agent_id,agent_name,agent_email,agent_phone,team_id,skill_level,hire_date,avg_handle_time_min,resolution_rate,csat_score,is_active,created_at,updated_at
1,Mahmoud El-Sayed,mahmoud.elsayed57@fastfeast.com,1228021013,3,Senior,2021-05-23,4,0.895,4.412,True,2021-05-23 00:00:00,2026-03-21 23:09:17.379633
2,Ayman Saleh,ayman.saleh57@fastfeast.com,1018672730,4,Senior,2023-03-27,5,0.897,4.219,True,2023-03-27 00:00:00,2026-03-21 23:09:17.379739
3,Mohamed Rizk,mohamed.rizk@fastfeast.com,1248299416,5,Lead,2021-08-02,4,0.918,4.773,True,2021-08-02 00:00:00,2026-03-21 23:09:17.379786
4,Mostafa Fathy,mostafafathy@fastfeast.com,1184202557,2,Lead,2020-11-23,5,0.955,4.54,True,2020-11-23 00:00:00,2026-03-21 23:09:17.379824
5,Mona Mansour,monamansour@fastfeast.com,1575706438,3,Senior,2023-03-06,9,0.912,4.323,True,2023-03-06 00:00:00,2026-03-21 23:09:17.379899
6,Karim Hassan,karim.hassan@fastfeast.com,1174119239,1,Senior,2021-05-24,6,0.936,4.714,False,2021-05-24 00:00:00,2026-03-21 23:09:17.379935
7,Nada Tawfik,nadatawfik@fastfeast.com,1079596863,2,Senior,2020-04-25,9,0.889,4.39,True,2020-04-25 00:00:00,2026-03-21 23:09:17.379979
8,Ziad Saleh,ziadsaleh@fastfeast.com,1210861718,2,Senior,2022-11-01,7,0.929,4.679,True,2022-11-01 00:00:00,2026-03-21 23:09:17.380007
9,Youssef Mohamed,youssef.mohamed8@fastfeast.com,1135754346,3,Mid,2024-09-07,9,0.873,4.158,False,2024-09-07 00:00:00,2026-03-21 23:09:17.380035
10,Amira Rizk,amira.rizk86@fastfeast.com,1022997893,2,Lead,2021-03-23,4,0.919,4.519,True,2021-03-23 00:00:00,2026-03-21 23:09:17.380064
11,Amr Shaker,amrshaker@fastfeast.com,1010414016,4,Senior,2025-10-31,6,0.922,4.449,True,2025-10-31 00:00:00,2026-03-21 23:09:17.380092
12,Jana Ali,jana.ali3@fastfeast.com,1216141035,3,Senior,2020-04-15,10,0.908,4.529,True,2020-04-15 00:00:00,2026-03-21 23:09:17.380121
13,Adel Fathy,adel.fathy92@fastfeast.com,1027161260,4,Senior,2024-06-27,7,0.958,4.773,True,2024-06-27 00:00:00,2026-03-21 23:09:17.380149
14,Nevine Gaber,nevinegaber@fastfeast.com,1144578317,4,Junior,2025-03-27,10,0.775,4.143,False,2025-03-27 00:00:00,2026-03-21 23:09:17.380174
15,Ramy Ali,ramy.ali@fastfeast.com,1144775001,1,Mid,2025-12-29,15,0.836,4.056,True,2025-12-29 00:00:00,2026-03-21 23:09:17.380192
16,Omar El-Masry,omar.elmasry47@fastfeast.com,1179759849,5,Senior,2022-02-09,6,0.965,4.624,True,2022-02-09 00:00:00,2026-03-21 23:09:17.380210
17,Amr El-Sayed,amr.elsayed@fastfeast.com,1549123810,4,Junior,2025-03-01,13,0.781,4.135,True,2025-03-01 00:00:00,2026-03-21 23:09:17.380228
18,Aya Tawfik,ayatawfik@fastfeast.com,1262527814,4,Lead,2022-05-12,4,0.962,4.542,True,2022-05-12 00:00:00,2026-03-21 23:09:17.380245
19,Mona Tawfik,monatawfik@fastfeast.com,1138154362,2,Senior,2022-03-10,10,0.943,4.823,True,2022-03-10 00:00:00,2026-03-21 23:09:17.380261
20,Ashraf Rizk,ashraf.rizk@fastfeast.com,1289643778,4,Senior,2020-02-07,10,0.901,4.891,False,2020-02-07 00:00:00,2026-03-21 23:09:17.380278
21,Dina Hassan,dina.hassan@fastfeast.com,1026381483,4,Mid,2021-05-01,7,0.891,4.442,True,2021-05-01 00:00:00,2026-03-21 23:09:17.380294
22,Ahmed El-Din,ahmedeldin@fastfeast.com,1062854477,5,Junior,2025-05-18,20,0.755,4.134,True,2025-05-18 00:00:00,2026-03-21 23:09:17.380315
23,Sara Soliman,sara.soliman12@fastfeast.com,1214698329,1,Senior,2021-05-23,5,0.959,4.712,False,2021-05-23 00:00:00,2026-03-21 23:09:17.380332
24,Noha Abdallah,noha.abdallah69@fastfeast.com,1123288780,1,Senior,2021-12-03,8,0.96,4.367,True,2021-12-03 00:00:00,2026-03-21 23:09:17.380348
25,Ali Abdel-Rahman,ali.abdelrahman55@fastfeast.com,1181927860,2,Lead,2022-05-31,7,0.964,4.85,True,2022-05-31 00:00:00,2026-03-21 23:09:17.380365
26,Nada Tawfik,nada.tawfik@fastfeast.com,1518852915,3,Senior,2022-02-28,8,0.89,4.784,True,2022-02-28 00:00:00,2026-03-21 23:09:17.380381
27,Abeer El-Masry,abeer.elmasry45@fastfeast.com,1284026745,3,Mid,2023-01-24,7,0.838,4.27,True,2023-01-24 00:00:00,2026-03-21 23:09:17.380398
28,Hassan El-Masry,hassan.elmasry@fastfeast.com,1243435196,5,Junior,2024-05-14,14,0.83,3.563,True,2024-05-14 00:00:00,2026-03-21 23:09:17.380415
29,Yasmin Mansour,yasmin.mansour@fastfeast.com,1122567290,2,Senior,2023-12-20,8,0.958,4.794,True,2023-12-20 00:00:00,2026-03-21 23:09:17.380432
30,Ashraf Abdel-Rahman,ashraf.abdelrahman@fastfeast.com,1581715863,3,Mid,2025-07-11,13,0.879,4.498,True,2025-07-11 00:00:00,2026-03-21 23:09:17.380448
